judul,url,isi
"Hasil Carabao Cup: Drama 9 Gol, Chelsea Hajar Leeds United 6-3",https://sport.detik.com/sepakbola/liga-inggris/d-8656256/hasil-carabao-cup-drama-9-gol-chelsea-hajar-leeds-united-6-3,"London - Chelsea melenggang ke babak 16 besar Carabao Cup 2026/2027 usai menggasak Leeds United . The Blues menang 6-3 di kandang. Bermain di Stamford Bridge, London, Kamis (10/9/2026), Chelsea turun dengan sejumlah pemain lapis kedua. Hasilnya, pasukan Xabi Alonso cukup kesulitan meladeni Leeds. Chelsea bahkan kejebolan sejak menit ke-23. Tarik Muharemovic membawa The Whites memimpin 1-0 lewat sundulannya hingga jeda. SCROLL TO CONTINUE WITH CONTENT Di babak kedua, Leeds bahkan sempat melebarkan keunggulannya. Brendan Aaronson membawa anak asuh Daniel Farke memimpin 2-0 tiga menit selepas turun minum. Tak mau tertinggal lebih jauh, Chelsea akhirnya bangkit. Pemain macam Cole Palmer, Pedro Neto, dan Morgan Rogers bisa merespons situasi dan gantian mendominasi Leeds United . ADVERTISEMENT Palmer sempat memperkecil skor jadi 1-2 lewat penaltinya di menit ke-53. Dua menit berselang, Palmer bisa menyamakan skor menjadi 2-2 lewat sepakan kaki kirinya. Di menit ke-60, Chelsea berbalik unggul lewat Neto. Ia bisa meneruskan sodoran Rogers menjadi gol. Lima menit berselang, Welbeck bisa menjauhkan keunggulan Chelsea menjadi 4-2. Rogers kembali jadi pemberi assist untuk rekannya. Leeds kemudian sempat memperkecil skor menjadi 3-4 lewat gol Dominic Calvert-Lewin di menit ke-75. Chelsea kemudian bisa menambah dua gol lagi lewat Valentin Barco dan gol kedua Welbeck. Kemenangan 6-3 mengantar Chelsea lolos ke babak keempat atau 16 besar Carabao Cup 2026/2027 . Laga akan dimainkan pada Oktober nanti. Susunan Pemain Chelsea : Mike Penders, Malo Gusto (Morgan Rogers 45'), Josh Acheampong, Maxence Lacroix, Levi Colwill (Wesley Fofana 76'), Pep Chavarria, Estevao (Pedro Neto 45'), Reggie Watson (Reece James 45'), Valentin Barco, Jamie Gittens (Cole Palmer 45'), Danny Welbeck Leeds United : Michael Zetterer, Tarik Muharemovic, Jaka Bijol, James Justin, Melvin Bard (Gabriel Gudmundsson 78'), Sean Longstaff (Ao Tanaka 67'), Ethan Ampadu, Daniel James (Anton Stach 66'), Brendan Aaronson (Noah Okafor 67'), Harry Wilson, Lukas Nmecha (Dominic Calvert-Lewin 66') Video: Arteta Mengaku Tidak Gugup Jelang Final Carabao Cup Video: Arteta Mengaku Tidak Gugup Jelang Final Carabao Cup (yna/mrp) carabao cup hasil carabao cup hasil carabao cup 2026/2027 carabao cup 2026/2027 chelsea vs leeds chelsea vs leeds united hasil chelsea vs leeds"
"Millwall Vs Newcastle: Elkan Baggott Main Penuh, Timnya Kalah 0-1",https://sport.detik.com/sepakbola/liga-inggris/d-8654649/millwall-vs-newcastle-elkan-baggott-main-penuh-timnya-kalah-0-1,"London - Elkan Baggott tampil penuh saat Millwall menjamu Newcastle United dalam laga Carabao Cup . Timnya tumbang 0-1 dari The Magpies. Putaran ketiga Carabao Cup menghadirkan duel Millwall vs Newcastle. Pertandingan digelar di The Den, Rabu (9/9/2026) dini hari WIB. Penggawa Timnas Indonesia Elkan Baggott tampil sebagai starter Millwall. Dia dimainkan sebagai bek kiri dalam formasi 4-2-3-1. SCROLL TO CONTINUE WITH CONTENT Baca juga: Hasil Millwall Vs Wrexham: The Lions Kalah 0-3, Baggott Starter Newcastle tampil menyerang sejak awal pertandingan. Millwall tampil disiplin di belakang meredam lini serang The Magpies. ADVERTISEMENT Millwall membuat peluang pada menit ke-26. Percobaan tembakan Lyndon Dykes dari umpan silang Elkan Baggott bisa ditepis kiper Newcastle Lukas Hornicek. Baggott kembali mengirim umpan berbahaya di menit ke-44. Kali ini Caleb Taylor yang menyambut bola dengan tandukannya, Lukas Hornicek kembali menyelamatkan gawang Newcastle dengan tepisannya. Tidak ada gol tercipta hingga turun minum. Babak pertama berakhir dengan skor kacamata 0-0. Baca juga: Pelatih Millwall Apresiasi Performa Solid Elkan Baggott Kebuntuan pecah di babak kedua, tepatnya menit ke-81. Joe Willock mencetak gol tap-in untuk Newcastle United, memaksimalkan assist Lewis Hall. Millwall gagal mengejar ketertinggalan di sisa waktu yang ada. Skor 1-0 untuk Newcastle jadi hasil akhir pertandingan. Elkan Baggott tak tergantikan sepanjang laga Millwall vs Newcastle. Dia mencatatkan 3 kali sapuan, sekali blok bola, sekali intersep, dan 2 kali umpan silang akurat. â¯ï¸ The 2025 winners are into Round Four! ð #EFL | #CarabaoCup pic.twitter.com/AMU5lstqvL â Carabao Cup (@Carabao_Cup) September 8, 2026 Susunan Pemain Millwall: Filip Marschall; Jake Cooper. Jordi Osei-Tutu, Elkan Baggott, Caleb Taylor, Daniel Kelly; Romain Esse, Jenson Metcalfe, Camiel Neghli; Zak Lovelace, Lyndon Dykes. Newcastle United: Lukas Hornicek; Lewis Hall, Amar Dedic, Sven Botman, Fabian Schar; Jacob Murphy, Joe Willock, Nico Gonzalez, Jacob Ramsey; Yoane Wissa, Harvey Barnes. Video Elkan Baggott Spill Beda Timnas Dulu dan Sekarang Video Elkan Baggott Spill Beda Timnas Dulu dan Sekarang (bay/rin) elkan baggott millwall newcastle united carabao cup piala liga inggris"
"Masih Niat Main buat Chelsea Gak, Enzo Fernandez?",https://sport.detik.com/sepakbola/liga-inggris/d-8639349/masih-niat-main-buat-chelsea-gak-enzo-fernandez,"Jakarta - Enzo Fernandez absen lagi di laga lawan Luton Town lalu. Manajer Chelsea Xabi Alonso menyiratkan gelandangnya itu tidak dalam kondisi tepat untuk main. Fernandez kembali absen saat Chelsea menjamu Luton di Carabao Cup pada tengah pekan. Sebelumnya ia juga tak main di laga pekan pertama Liga Inggris kontra Fulham. Dengan masa depannya masih dipertanyakan, gelandang internasional Argentina tersebut diperkirakan belum akan masuk skuad lawan Brighton & Hove Albion. Ia sedang diminati Manchester City dan diyakini penawaran akan segera datang. SCROLL TO CONTINUE WITH CONTENT Baca juga: Chelsea Lebih Baik Dengan atau Tanpa Enzo Fernandez? Alonso mengakui mengambil keputusan menepikan dulu Fernandez. Ada indikasi bahwa mantan pemain Benfica itu tidak dalam kondisi 100% untuk bermain baik secara fisik maupun mental. ADVERTISEMENT ""Saya sudah bilang kami butuh pemain yang berada di situasi terbaik untuk bermain. Kami harus mempertimbangkan semuanya: pemain-pemain di momen bagus, pemain-pemain yang tak punya energi untuk bermain,"" ungkap Alonso. Baca juga: Chelsea Vs Luton: Enzo Fernandez ke Mana? ""Bagi saya, sangat penting mereka punya hasrat untuk bermain dan menjalani persiapan yang bagus,"" ""Kami berbincang, dan kami memutuskan buat laga kemarin itu lebih baik dia tak masuk skuad. Dia tetap pemain top,"" tambahnya. Baca juga: John Terry: Enzo Fernandez Mau Tinggalkan Chelsea Video: Chelsea Jual Enzo Fernandez ke Man City Seharga Rp 3 T Video: Chelsea Jual Enzo Fernandez ke Man City Seharga Rp 3 T (raw/mrp) enzo fernandez chelsea liga inggris manchester city xabi alonso luton town carabao cup"
Liverpool Punya Sponsor Baru Musim depan,https://sport.detik.com/sepakbola/liga-inggris/d-8656205/liverpool-punya-sponsor-baru-musim-depan,"Liverpool - Tidak akan ada lagi logo Bank Standard Chartered di bagian depan jersey Liverpool musim depan. The Reds akan disponsori maskapai Turkish Airlines . Kesepakatan ini diumumkan, Selasa (8/9/2026), sekaligus mengakhiri kerjasama 17 tahun antara Liverpool dan Standard Chartered. Turkish Airlines akan menjadi sponsor untuk lima musim ke depan. Menurut The Athletic , nilai kerjasama ini adalah 300 juta paun selama periode di atas atau sekitar 60-65 juta paun per musim. Turkish Airlines jadi sponsor keenam sepanjang sejarah Liverpool. SCROLL TO CONTINUE WITH CONTENT Nilai kerjasama ini menyamai apa yang didapat Arsenal dari Fly Emirates, Manchester City dari Etihd Airways, dan Manchester United dari Snapdragon. Bedanya Turkish Airlines cuma jadi sponsor dada untuk tim Liverpool di berbagai level usia termasuk tim wanita. ""Ini adalah pengumuman penting bagi kami dan kami sangat senang menyambut Turkish Airlines sebagai sponsor utama klub kami mulai Juni 2027,"" ujar Chief Commercial Officer (CCO) Liverpool Ben Latty di situs resmi klub. ADVERTISEMENT Baca juga: Mac Allister Sedih Tak Ditawari Kontrak Baru di Liverpool ""Bagian depan jersey Liverpool memiliki tempat khusus dalam sejarah klub kami. Turkish Airlines adalah perusahaan yang diakui secara global dengan jaringan internasional yang luas, dan kami berharap dapat memulai kemitraan kami dan membangun hubungan yang kuat bersama, dengan fondasi yang sudah kuat yang dibangun dari kenangan istimewa di tahun 2005,"" sambungnya. Turkish Airlines merupakan maskapai nomor satu Turki yang berbasis di Istanbul. Turkish Airlines juga sempat jadi sponsor untuk Liga Champions beberapa musim lalu. Turki juga menyimpan cerita indah untuk Liverpool ketika mereka jadi juara Liga Champions 2005, usai mengalahkan AC Milan lewat adu penalti. Padahal si Merah kala itu sempat tertinggal 0-3 di babak pertama. ""Liverpool FC adalah salah satu klub top dan paling dihormati di dunia, dengan sejarah luar biasa serta fans mendunia,"" kata CEO Turkish Airlines Ahmet Olmustur. ""Kami sangat senang Turkish Airlines menjadi sponsor utama klub dan nama kami akan terpampang di salah satu jersey paling ikonik di dunia olahraga."" Baca juga: Apa Benar Liverpool Incar Calvin Verdonk? Video: Saling Berbalas Gol, Liverpool vs Nottingham Berakhir 2-2 Video: Saling Berbalas Gol, Liverpool vs Nottingham Berakhir 2-2 (mrp/adp) liverpool turkish airlines standard chartered liga inggris 2026/2027 liga inggris"
Enzo Fernandez Bahagia Banget Tetap Dilatih Maresca,https://sport.detik.com/sepakbola/liga-inggris/d-8655863/enzo-fernandez-bahagia-banget-tetap-dilatih-maresca,"Jakarta - Manchester City sudah mendatangkan Enzo Fernandez . Pemain asal Argentina itu bahagia kembali di bawah arahan Enzo Maresca. Mulai musim panas tahun ini, Man City ditangani Maresca. Pep Guardiola hengkang, pelatih asal Italia itu yang dipilih untuk menjadi penerusnya. Belanja besar dilakukan Man City. Elliot Anderson, Ayyoub Bouaddi, dan Enzo Fernandez yang didatangkan tim Manchester Biru. SCROLL TO CONTINUE WITH CONTENT Baca juga: Chelsea Gagal Dapat Pengganti Enzo, Ini Kata Xabi Alonso Dana sebesar 125 juta poundsterling digelontorkan oleh Man City untuk menebus Enzo Fernandez dari Chelsea. Ia menjadi pemain Premier League termahal musim ini. ADVERTISEMENT Enzo Fernandez pun gembira bisa kembali satu tim dengan Maresca. Sebelumnya, keduanya memperkuat Chelsea dan sukses mempersembahkan trofi UEFA Conference League dan Piala Dunia Antarklub 2025. ""Saya sangat senang karena Enzo Maresca melakukan semua yang dia bisa untuk mewujudkan kepindahan ini. Dia sangat mengenal saya dari masa kami bersama di Chelsea, dan saya sangat bersyukur atas semua yang telah dia lakukan untuk saya dan keluarga saya,"" kata Enzo, dikutip dari BBC. Baca juga: Enzo Tak Ragu-ragu Terima Tawaran Man City ""Saya akan memberikan 100 persen di setiap sesi latihan dan di setiap pertandingan demi membalas budi kepadanya,"" kata dia menambahkan. Enzo Fernandez sudah bermain dua kali untuk Man City. Dia membela The Citizens di laga melawan Coventry City (1-0) dan FC Porto (2-0). Baca juga: Enzo Fernandez Ngomong Begini, Fans Chelsea Panas Nggak? Video: Chelsea Jual Enzo Fernandez ke Man City Seharga Rp 3 T Video: Chelsea Jual Enzo Fernandez ke Man City Seharga Rp 3 T (cas/nds) enzo fernandez manchester city enzo maresca liga inggris"
Xabi Alonso Redam Isu Estevao Mau Cabut dari Chelsea,https://sport.detik.com/sepakbola/liga-inggris/d-8655272/xabi-alonso-redam-isu-estevao-mau-cabut-dari-chelsea,"Jakarta - Belakangan, ramai isu soal Estevao mau cabut dari Chelsea karena belum dipercaya. Manajer Xabi Alonso angkat bicara! Estevao belum main sebagai starter di tiga laga awal Chelsea pada Liga Inggris musim 2026/27. Estevao baru starter di Carabao Cup. Baca juga: Estevao Pikir-pikir Akan Tinggalkan Chelsea? SCROLL TO CONTINUE WITH CONTENT Kabarnya, Estevao mulai mempertimbangkan cabut dari Chelsea. Pemain berusia 19 tahun itu mau main reguler. Dilansir dari Mirror , manajer Chelsea, Xabi Alonso angkat bicara soal isu tersebut. Alonso tegaskan, Estevao masih jadi bagian penting buat The Blues! ADVERTISEMENT ""Musim ini akan berjalan panjang. Para pemain memiliki hasrat dan semangat tinggi untuk berkembang. Estevao adalah bagian dari tim, dia memiliki sikap dan mentalitas yang sangat baik,"" papar Alonso. ""Dia berlatih dengan baik. Dia baru-baru ini memberikan dampak positif dan mendapatkan peluang bagus,"" sambungnya. ""Saya mengandalkan Estevao karena potensinya dan usianya masih sangat muda,"" tambahnya. Baca juga: Chelsea dan 'Sakit' Tahunan Estevao sudah gabung ke Chelsea sejak musim panas 2025. Pada debutnya, pemain asal Brasil itu kemas delapan gol dan empat assist dari 36 laga di seluruh kompetisi. (aff/krs) estevao chelsea xabi alonso"
Michael Carrick Puas dengan Performa Rashford,https://sport.detik.com/sepakbola/liga-inggris/d-8654259/michael-carrick-puas-dengan-performa-rashford,"Jakarta - Marcus Rashford langsung mengamankan tempat utama sejak kembali ke Manchester United. Michael Carrick puas dengan performa pemain yang kini memakai nomor 9 di skuad Setan Merah itu. Rashford selalu bermain dalam tiga pertandingan yang dijalani Man United di Liga Inggris. Dia belum memberi gol atau assist. Kendati demikian, performa Rashford boleh dibilang cukup baik. Situs resmi Liga Inggris mencatat pemain berusia 28 tahun itu 15 kali memenangi duel, delapan kali mengirim umpan silang sukses, dan mempunyai akurasi umpan 74 persen. SCROLL TO CONTINUE WITH CONTENT Baca juga: Mbeumo: Rashford Tampak Bahagia di MU Sisi sayap kiri Man United menjadi andalan untuk melakukan serangan. Rashford sudah tampil selama 195 menit. ADVERTISEMENT ""Dia tampil sangat baik, seperti yang saya katakan selama pekan ini, dia bermain luar biasa sejak kembali,"" kata Carrick seperti dikabarkan oleh Manchester Evening News. Baca juga: Carrick Senang dengan Kembalinya Rashford ""Dia terlihat sangat tajam lagi hari ini dan berbahaya, momen penyelesaian akhirnya memang belum memihak padanya, tetapi saya pikir dia menciptakan peluang-peluang yang sangat bagus dan memberikan ancaman besar sepanjang pertandingan,"" kata dia menambahkan. Man United akan melawan Sabah di Liga Champions. Laga itu akan berlangsung di Stadion Old Trafford, Jumat (10/9/2026) dini hari WIB. Rashford bisa memberi kontribusi gol pertama untuk Man United musim ini? Baca juga: Carragher Tak Mau Banyak Bahas Rashford di Podcast, Ini Alasannya Simak juga Video Carrick Ogah Panik Usai MU Disikat Hull: Ini Cuma Satu Pertandingan [Gambas:Video 20detik] (cas/pur) michael carrick marcus rashford manchester united"
Mac Allister Sedih Tak Ditawari Kontrak Baru di Liverpool,https://sport.detik.com/sepakbola/liga-inggris/d-8654662/mac-allister-sedih-tak-ditawari-kontrak-baru-di-liverpool,"Liverpool - Gelandang Liverpool Alexis Mac Allister mengaku sedih karena tidak ditawari kontrak baru. Mac Allister tinggal memiliki sisa dua tahun di kontraknya. Pemain internasional Argentina itu bergabung Liverpool setelah digaet dari Brighton pada musim panas 2023. Mac Allister nyaris tak tergantikan di lini tengah dan sudah membuat lebih dari 150 penampilan di semua kompetisi dengan sumbangan 19 gol dan 20 assist. Kontribusinya ikut mengantar the Reds memenangi titel juara Premier League dan Piala Liga Inggris. Baca juga: Isak Lagi 'Panas', Kini Kejar Gol Perdana bersama Liverpool di Liga Champions SCROLL TO CONTINUE WITH CONTENT Meski begitu, Liverpool agaknya belum mau buru-buru menawarkan kesepakatan baru kepada Alexis Mac Allister . Si pemain sendiri mengaku sedih karena tak mendapatkan kontrak baru seperti dua rekan setimnya: Dominik Szoboszlai dan Ryan Gravenberch. ""Aku menerima kabar bahwa klub tidak dalam posisi untuk menawarkan kontrak baru kepadaku, yang tentu saja membuatku sangat, sangat sedih,"" ujar pemain berusia 27 tahun ini dilansir ESPN. ADVERTISEMENT Baca juga: Apa Benar Liverpool Incar Calvin Verdonk? ""Karena kupikir semua orang bisa melihat bahwa aku memberikan 100% untuk klub ini, setiap hari di latihan, pertandingan... Aku selalu memberikan yang terbaik."" ""Tentu saja, sebagai contoh, aku melihat Dominik [Szoboszlai] dan Ryan [Gravenberch], memperpanjang kontrak mereka, dan itu membuatku sangat senang karena mereka pantas mendapatkannya."" ""Namun, hal itu sekaligus membuatku sedikit sedih karena aku tidak mendapatkan kontrak baru. Tadinya ada opsi untuk pergi di musim panas ini, dan kupikir sekarang aku berada di klub yang tepat, dan aku punya pola pikir yang tepat untuk memberikan 100% untuk klub ini,"" Mac Allister menambahkan. Video: Jeff Bezos Dikabarkan Beli Sepertiga Saham Liverpool Video: Jeff Bezos Dikabarkan Beli Sepertiga Saham Liverpool (rin/adp) alexis mac allister liverpool"
"Haaland Minim Pramusim, Khawatir Performanya Turun",https://sport.detik.com/sepakbola/liga-inggris/d-8654554/haaland-minim-pramusim-khawatir-performanya-turun,"Jakarta - Striker Manchester City Erling Haaland khawatir minimnya jeda musim panas akan berdampak buruk ke performanya. Haaland bahkan tidak ikut pramusim. Haaland menjalani musim panas yang tidak seperti biasanya. Kali ini ia harus tetap bertanding sebab Norwegia tampil di Piala Dunia untuk pertama kalinya setelah 28 tahun absen dan melaju sampai perempatfinal. Melangkah jauh di Piala Dunia, Haaland lantas mendapat libur lebih panjang pada musim panas lalu. Namun, hal itu kemudian juga membuatnya absen dalam laga-laga pramusim City. SCROLL TO CONTINUE WITH CONTENT Haaland tak hanya khawatirkan kondisinya karena minim pramusim. Tidak adanya jeda yang cukup dari sepakbola juga dikhawatirkan berdampak kepada mentalnya. Baca juga: Haaland Sudah 300 Gol di Level Klub, Cuma Kalah Cepat dari Messi ADVERTISEMENT ""Musim baru mulai dan saya bahkan tidak ikut pramusim. Saya biasanya ada pramusim tapi kali ini, tidak ada,"" ujar Haaland di saluran YouTube-nya seperti dikutip Sky Sports. ""Aspek fisik akan terbentuk, kalau Anda bisa jauh dari cedera, tapi juga harus tajam secara mental, dan itu tidak mudah."" ""Kami harus punya rasa ingin kembali tapi kami tidak memilikinya karena tidak ada waktu untuk benar-benar menjauh dari sepakbola karena ada begitu banyak pertandingan dan musimnya lebih panjang."" ""Saya tidak mengeluh karena ini masih hal yang positif, bahwa Anda bisa main sepakbola di sepanjang tahun dan hidup dari sana. Tapi kadang kami juga butuh jeda. Jadi kita lihat saja nanti. Saya belum pernah ada di situasi ini sebelumnya. Saya belum pernah main di Piala Dunia sebelumnya, jadi tidak tahu akan bagaimana nantinya,"" katanya. Baca juga: Kans Erling Haaland Ukir Rekor Baru di Liga Champions Video: Pelatih FC Porto Akui Haaland Salah Satu Striker Terbaik Dunia Video: Pelatih FC Porto Akui Haaland Salah Satu Striker Terbaik Dunia (nds/pur) erling haaland manchester city"
Carrick Sebut MU Baik-baik saja,https://sport.detik.com/sepakbola/liga-inggris/d-8653670/carrick-sebut-mu-baik-baik-saja,"Jakarta - Manchester United awali Liga Inggris dengan sekali menang, sekali imbang, dan sekali kalah. Pelatih Michael Carrick sebut MU baik-baik saja. Manchester United membuka Liga Inggris 2026/27 dengan kekalahan 0-2 dari Hull City. MU lanjut menang 5-2 atas Ipswich Town, lalu ditahan imbang Everton 2-2. Baca juga: Belum Sepekan di Everton, Maitland-Niles Jebol Gawang MU dan Ukir Sejarah SCROLL TO CONTINUE WITH CONTENT Manchester United sementara duduk di peringkat ke-11 Klasemen Liga Inggris dengan empat poin dari tiga laga. Laga berat menanti. Mu akan menjamu Manchester City dalam Derby Manchester pada Minggu (13/9) pukul 22.30 WIB! ADVERTISEMENT Baca juga: Sudahi Sedihmu, MU... Pelatih Manchester United, Michael Carrick sebut timnya baik-baik saja. Carrick yakin, Manchester United akan segera bangkit. ""Sebenarnya kami tidak seburuk itu, lho,"" ujar Carrick dilansir dari BBC. ""Kami nyaris saja membawa pulang tiga poin. Begitulah sepak bola. Ada momen-momen kecil yang bisa kami tangani dengan lebih baik, tapi kami akan baik-baik saja,"" sambungnya. Michael Carrick menilai timnya sudah padu. Khususnya para gelandang tengah baru yang didatangkan. Baca juga: Carrick Akui MU Punya PR di Pertahanan (aff/krs) manchester united michael carrick liga inggris"
